mean_fit_time,std_fit_time,mean_score_time,std_score_time,param_DT__alpha,param_DT__class_weight,param_DT__criterion,params,split0_test_score,split1_test_score,split2_test_score,split3_test_score,split4_test_score,mean_test_score,std_test_score,rank_test_score,split0_train_score,split1_train_score,split2_train_score,split3_train_score,split4_train_score,mean_train_score,std_train_score
2.729617214,0.02273231,0.005801249,0.001165949,0.1,balanced,entropy,"{'DT__alpha': 0.1, 'DT__class_weight': 'balanced', 'DT__criterion': 'entropy'}",0.5,0.5,0.5,0.5,0.760399487,0.552063902,0.104147797,28,0.5,0.5,0.5,0.5,0.760331109,0.552066222,0.104132444
2.765026045,0.061284178,0.005197382,0.001470395,0.1,balanced,gini,"{'DT__alpha': 0.1, 'DT__class_weight': 'balanced', 'DT__criterion': 'gini'}",0.5,0.5,0.5,0.5,0.765940347,0.553171734,0.106363885,27,0.5,0.5,0.5,0.5,0.76279868,0.552559736,0.105119472
2.775430918,0.061974255,0.005398989,0.001359653,0.031622777,balanced,gini,"{'DT__alpha': 0.0316227766016838, 'DT__class_weight': 'balanced', 'DT__criterion': 'gini'}",0.789448415,0.755827095,0.5,0.763947324,0.765940347,0.715026023,0.108102914,26,0.786430346,0.76532728,0.5,0.763296692,0.76279868,0.7155706,0.10814415
2.750236273,0.045375281,0.005190754,0.000405302,0.031622777,balanced,entropy,"{'DT__alpha': 0.0316227766016838, 'DT__class_weight': 'balanced', 'DT__criterion': 'entropy'}",0.788782657,0.781324191,0.5,0.780455268,0.785229554,0.7271509,0.113623614,25,0.785478465,0.785065008,0.5,0.78867897,0.783975131,0.728639515,0.114330483
2.800433636,0.065863087,0.005400562,0.001356724,0.01,balanced,gini,"{'DT__alpha': 0.01, 'DT__class_weight': 'balanced', 'DT__criterion': 'gini'}",0.81098938,0.776312846,0.811488699,0.7761079,0.785805218,0.792142068,0.015983879,10,0.813018715,0.788395006,0.812893839,0.78375135,0.783126943,0.796237171,0.013771987
2.817278385,0.023688924,0.006764174,0.001787776,0.003162278,balanced,gini,"{'DT__alpha': 0.0031622776601683794, 'DT__class_weight': 'balanced', 'DT__criterion': 'gini'}",0.814064368,0.776312846,0.810754259,0.774724933,0.787983781,0.792769249,0.01671141,9,0.818614606,0.788395006,0.818107196,0.785876789,0.783442905,0.798887301,0.015977872
2.863047838,0.053912457,0.005007648,7.28E-06,0.001,balanced,gini,"{'DT__alpha': 0.001, 'DT__class_weight': 'balanced', 'DT__criterion': 'gini'}",0.820276445,0.77833262,0.807507306,0.774896291,0.790896217,0.794382937,0.017276168,8,0.833117021,0.794757364,0.827806182,0.791553629,0.795966184,0.808640076,0.017954188
2.756022692,0.04854767,0.00480504,0.000393283,0.01,balanced,entropy,"{'DT__alpha': 0.01, 'DT__class_weight': 'balanced', 'DT__criterion': 'entropy'}",0.80920249,0.807352971,0.811067929,0.803964907,0.812020302,0.808721639,0.002867504,2,0.81138742,0.809335066,0.812336199,0.814112085,0.807910681,0.81101629,0.002187929
2.77246294,0.047785831,0.005569553,0.001290504,0.003162278,balanced,entropy,"{'DT__alpha': 0.0031622776601683794, 'DT__class_weight': 'balanced', 'DT__criterion': 'entropy'}",0.813932532,0.80812583,0.81049664,0.801864399,0.811986316,0.809281231,0.004165808,1,0.817707453,0.813067029,0.816602085,0.820817301,0.813026888,0.816244151,0.002953911
2.825646877,0.044068775,0.004997349,6.99E-06,0.001,balanced,entropy,"{'DT__alpha': 0.001, 'DT__class_weight': 'balanced', 'DT__criterion': 'entropy'}",0.818558762,0.807881368,0.805563318,0.79842804,0.808528646,0.807792373,0.006467343,3,0.830481517,0.822635635,0.828110269,0.826515503,0.817227283,0.824994041,0.004648069
