param_SVM__n_iter,train acc,test acc
100,1.0,0.8128205128205128
200,1.0,0.8128205128205128
300,1.0,0.8128205128205128
400,1.0,0.8128205128205128
500,1.0,0.8128205128205128
600,1.0,0.8128205128205128
700,1.0,0.8128205128205128
800,1.0,0.8128205128205128
900,1.0,0.8128205128205128
1000,1.0,0.8128205128205128
1100,1.0,0.8128205128205128
1200,1.0,0.8128205128205128
1300,1.0,0.8128205128205128
1400,1.0,0.8128205128205128
1500,1.0,0.8128205128205128
1600,1.0,0.8128205128205128
1700,1.0,0.8128205128205128
1800,1.0,0.8128205128205128
1900,1.0,0.8128205128205128
2000,1.0,0.8128205128205128
2100,1.0,0.8128205128205128
2200,1.0,0.8128205128205128
2300,1.0,0.8128205128205128
2400,1.0,0.8128205128205128
2500,1.0,0.8128205128205128
