param_SVM__n_iter,train acc,test acc
1,0.7329670329670329,0.6358974358974359
2,0.8950549450549451,0.7333333333333333
4,0.954945054945055,0.7961538461538461
8,0.9774725274725274,0.8
16,0.9857142857142858,0.8474358974358974
32,0.987912087912088,0.8371794871794872
64,0.9873626373626374,0.8294871794871795
128,0.989010989010989,0.8346153846153846
256,0.9895604395604396,0.8358974358974359
512,0.9901098901098901,0.841025641025641
1024,0.9901098901098901,0.8371794871794872
2048,0.9901098901098901,0.841025641025641
